file,class,type,cbo,cboModified,fanin,fanout,wmc,dit,noc,rfc,lcom,lcom*,tcc,lcc,totalMethodsQty,staticMethodsQty,publicMethodsQty,privateMethodsQty,protectedMethodsQty,defaultMethodsQty,visibleMethodsQty,abstractMethodsQty,finalMethodsQty,synchronizedMethodsQty,totalFieldsQty,staticFieldsQty,publicFieldsQty,privateFieldsQty,protectedFieldsQty,defaultFieldsQty,finalFieldsQty,synchronizedFieldsQty,nosi,loc,returnQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,variablesQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\ast\statement\SQLAlterTableImportPartition.java,com.alibaba.druid.sql.ast.statement.SQLAlterTableImportPartition,class,5,5,0,5,7,2,0,5,2,0.5,0.0,0.0,5,0,4,0,1,0,5,0,0,0,2,0,0,2,0,0,1,0,0,25,2,0,1,0,0,0,1,2,0,2,1,0,0,0,28,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\db2\parser\DB2SelectParser.java,com.alibaba.druid.sql.dialect.db2.parser.DB2SelectParser,class,12,14,2,12,26,2,0,24,10,0.0,0.0,0.0,5,0,4,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,115,3,1,13,0,0,10,0,7,1,5,3,0,0,0,36,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\druid-spring-boot-starter\src\main\java\com\alibaba\druid\spring\boot\autoconfigure\stat\DruidWebStatFilterConfiguration.java,com.alibaba.druid.spring.boot.autoconfigure.stat.DruidWebStatFilterConfiguration,class,6,7,1,6,8,1,0,11,0,0.0,NaN,NaN,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,26,1,0,7,0,0,10,0,3,0,3,1,0,0,0,18,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\odps\ast\OdpsStatementImpl.java,com.alibaba.druid.sql.dialect.odps.ast.OdpsStatementImpl,class,5,19,14,5,3,2,13,2,3,0.0,0.0,0.0,3,0,1,0,2,0,3,1,0,0,0,0,0,0,0,0,0,0,1,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1025,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\ast\statement\SQLAlterTableCompression.java,com.alibaba.druid.sql.ast.statement.SQLAlterTableCompression,class,4,4,0,4,6,2,0,4,0,0.25,0.0,0.0,4,0,3,0,1,0,4,0,0,0,1,0,0,1,0,0,0,0,0,20,1,0,1,0,0,0,0,1,0,1,1,0,0,0,23,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\mysql\ast\statement\MySqlShowFunctionStatusStatement.java,com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowFunctionStatusStatement,class,4,8,4,4,6,3,0,3,0,0.4,0.0,0.0,5,0,5,0,0,0,5,0,0,0,2,0,0,2,0,0,0,0,0,23,2,0,0,0,0,0,0,2,0,2,1,0,0,0,24,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\transform\SQLUnifiedVisitor.java,com.alibaba.druid.sql.transform.SQLUnifiedVisitor,class,15,16,1,15,21,3,0,24,21,0.0,0.0,0.0,7,0,7,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,3,113,7,1,10,0,1,0,2,19,0,19,4,3,0,0,47,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\mysql\ast\statement\MySqlShowTopologyStatement.java,com.alibaba.druid.sql.dialect.mysql.ast.statement.MySqlShowTopologyStatement,class,7,11,4,7,12,3,0,3,29,0.74545455,0.0,0.0,11,0,11,0,0,0,11,0,0,0,5,0,0,5,0,0,0,0,0,46,5,0,0,0,0,0,0,5,0,5,1,0,0,0,31,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\visitor\SQLASTVisitor.java,com.alibaba.druid.sql.visitor.SQLASTVisitor,interface,347,354,7,347,694,1,0,0,240471,0.0,0.0,0.0,694,0,0,0,0,694,694,0,0,0,0,0,0,0,0,0,0,0,0,1736,346,0,0,0,0,0,0,0,0,0,0,0,0,0,276,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\filter\logging\Log4j2Filter.java,com.alibaba.druid.filter.logging.Log4j2Filter,class,3,4,1,3,24,5,0,13,190,0.7916667,0.0,0.0,24,0,19,0,5,0,24,0,0,0,4,0,0,4,0,0,0,0,0,86,11,0,0,0,0,0,0,20,0,4,0,0,0,0,26,1,5
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\ast\SQLZOrderBy.java,com.alibaba.druid.sql.ast.SQLZOrderBy,class,7,8,1,7,26,2,0,16,49,0.6,0.0,0.0,15,0,13,0,2,0,15,0,0,0,2,0,0,1,1,0,1,0,0,86,11,3,5,0,1,0,4,13,2,11,2,0,0,0,47,17,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\pool\ha\node\PoolUpdater.java,com.alibaba.druid.pool.ha.node.PoolUpdater,class,7,10,3,7,49,1,0,37,10,0.7777778,0.0,0.0,16,0,12,2,2,0,14,0,0,0,9,2,1,8,0,0,2,0,2,198,15,2,8,5,2,34,7,26,13,23,5,1,0,0,124,1,17
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\proxy\jdbc\JdbcParameterDecimal.java,com.alibaba.druid.proxy.jdbc.JdbcParameterDecimal,class,2,4,2,2,9,1,0,1,13,0.7916667,0.0,0.0,6,1,5,1,0,0,5,0,0,0,4,3,3,1,0,0,1,0,0,33,8,0,3,0,2,0,3,4,0,4,1,0,0,0,23,17,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\mysql\parser\MySqlInsertReader.java,com.alibaba.druid.sql.dialect.mysql.parser.MySqlInsertReader,class,7,7,0,7,6,1,0,5,7,0.74999994,0.0,0.0,6,0,6,0,0,0,6,0,0,0,6,0,0,5,0,1,1,0,0,32,4,0,0,0,0,0,2,7,1,7,0,0,0,0,27,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\dialect\postgresql\ast\stmt\PGStartTransactionStatement.java,com.alibaba.druid.sql.dialect.postgresql.ast.stmt.PGStartTransactionStatement,class,5,11,6,5,4,2,0,3,3,0.0,0.0,0.0,3,0,2,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,1,0,0,0,14,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\proxy\jdbc\WrapperProxy.java,com.alibaba.druid.proxy.jdbc.WrapperProxy,interface,0,12,12,0,7,1,0,0,21,0.0,0.0,0.0,7,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,0
H:\repositories\labPesquisa\Lab01S03-PythonScript\Lab02\src\metrics\..\..\repositories\druid\src\main\java\com\alibaba\druid\sql\ast\SQLStatementImpl.java,com.alibaba.druid.sql.ast.SQLStatementImpl,class,8,19,11,8,16,2,11,4,60,0.75,0.0,0.0,16,0,15,0,1,0,16,0,0,0,3,0,0,0,3,0,0,0,0,52,8,0,0,0,0,0,0,4,0,3,0,0,0,0,36,1025,0
