id,stargazerCount,nameWithOwner,url,createdAt,releases,ageinyears,LOC,CBO,DIT,LCOM
MDEwOlJlcG9zaXRvcnk4MjA1NjAy,17652,mybatis/mybatis-3,https://github.com/mybatis/mybatis-3,2013-02-14T19:03:32Z,37,9.55,53600.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk0OTY2MjIyMg==,17411,oracle/graal,https://github.com/oracle/graal,2016-01-14T17:11:35Z,32,6.64,1301467.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMjYzNjU5NjU=,17344,linlinjava/litemall,https://github.com/linlinjava/litemall,2018-03-22T16:42:30Z,8,4.45,90876.0,3.0,1.0,0.5
MDEwOlJlcG9zaXRvcnk0OTg3NjQ3Ng==,17254,apache/shardingsphere,https://github.com/apache/shardingsphere,2016-01-18T12:49:26Z,48,6.63,2589.0,3.0,1.0,0.125
MDEwOlJlcG9zaXRvcnkxMzQwNDUxNQ==,17202,brettwooldridge/HikariCP,https://github.com/brettwooldridge/HikariCP,2013-10-08T05:43:03Z,0,8.91,10524.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk3MDEwNzI0,17124,dianping/cat,https://github.com/dianping/cat,2012-12-05T02:31:48Z,3,9.75,97913.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNDkwMDEzNjU=,16977,doocs/leetcode,https://github.com/doocs/leetcode,2018-09-16T14:03:03Z,19,3.97,3024.0,2.0,1.0,0.2
MDEwOlJlcG9zaXRvcnk4NzYyNDg3MA==,16846,forezp/SpringCloudLearning,https://github.com/forezp/SpringCloudLearning,2017-04-08T10:06:56Z,0,5.41,1123.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkzMTUzMzk5Nw==,16845,facebook/fresco,https://github.com/facebook/fresco,2015-03-02T09:58:04Z,45,7.51,70140.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyODYyMjkw,16797,nostra13/Android-Universal-Image-Loader,https://github.com/nostra13/Android-Universal-Image-Loader,2011-11-27T18:48:23Z,0,10.77,7434.0,3.0,1.0,0.133333335
MDEwOlJlcG9zaXRvcnk2NzQ4MTk4Ng==,16516,Tencent/tinker,https://github.com/Tencent/tinker,2016-09-06T06:57:52Z,50,5.99,39110.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk2OTk1MzQ0NQ==,16341,shuzheng/zheng,https://github.com/shuzheng/zheng,2016-10-04T10:07:06Z,0,5.92,41742.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNzgwNDU4NA==,15913,winterbe/java8-tutorial,https://github.com/winterbe/java8-tutorial,2014-03-16T17:25:43Z,0,8.47,2081.0,1.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk4OTgyMjUzMQ==,15851,Anuken/Mindustry,https://github.com/Anuken/Mindustry,2017-04-30T01:24:29Z,140,5.35,0.0,,,
MDEwOlJlcG9zaXRvcnk0NTc2MzA1,15630,openzipkin/zipkin,https://github.com/openzipkin/zipkin,2012-06-06T18:26:16Z,67,10.25,37250.0,5.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk0NDgwNDIxNg==,15313,termux/termux-app,https://github.com/termux/termux-app,2015-10-23T09:42:46Z,89,6.87,24079.0,4.0,1.0,0.11764706
MDEwOlJlcG9zaXRvcnkyMzExMjUyNg==,15192,android10/Android-CleanArchitecture,https://github.com/android10/Android-CleanArchitecture,2014-08-19T14:09:26Z,0,8.04,2260.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk1OTAxOTAw,15156,LMAX-Exchange/disruptor,https://github.com/LMAX-Exchange/disruptor,2012-09-21T13:42:24Z,13,9.95,13018.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk4MTA1Nzg0Mg==,15043,JeffLi1993/springboot-learning-example,https://github.com/JeffLi1993/springboot-learning-example,2017-02-06T07:02:25Z,0,5.57,1641.0,3.5,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNDg0OTY2ODc=,14994,YunaiV/SpringBoot-Labs,https://github.com/YunaiV/SpringBoot-Labs,2018-09-12T14:51:46Z,0,3.98,13457.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkzNzY2NzA2,14754,iBotPeaches/Apktool,https://github.com/iBotPeaches/Apktool,2012-03-19T17:46:53Z,15,10.46,10391.0,6.5,2.0,0.0
MDEwOlJlcG9zaXRvcnk2NjE3OTc2NQ==,14669,dyc87112/SpringBoot-Learning,https://github.com/dyc87112/SpringBoot-Learning,2016-08-21T03:39:06Z,0,6.04,2790.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNjAwNTQxMA==,14276,hdodenhof/CircleImageView,https://github.com/hdodenhof/CircleImageView,2014-01-17T16:44:46Z,0,8.63,360.0,5.0,2.0,0.0
MDEwOlJlcG9zaXRvcnkyOTkzNTk1,14246,medcl/elasticsearch-analysis-ik,https://github.com/medcl/elasticsearch-analysis-ik,2011-12-16T09:01:45Z,176,10.72,2051.0,4.5,1.0,0.422222225
MDEwOlJlcG9zaXRvcnkxNDkxMjE5NTQ=,13995,openjdk/jdk,https://github.com/openjdk/jdk,2018-09-17T12:29:20Z,0,3.96,,,,
MDEwOlJlcG9zaXRvcnk3NjQxMzE4Ng==,13931,alibaba/ARouter,https://github.com/alibaba/ARouter,2016-12-14T01:27:49Z,16,5.72,3165.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk3NTY0MzA5Ng==,13923,material-components/material-components-android,https://github.com/material-components/material-components-android,2016-12-05T16:11:29Z,59,5.75,84679.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk1MzQ5NTY1,13825,prestodb/presto,https://github.com/prestodb/presto,2012-08-09T01:03:37Z,0,10.07,67565.0,6.0,1.0,0.25
MDEwOlJlcG9zaXRvcnk4ODk3MDU2NA==,13768,Tencent/QMUI_Android,https://github.com/Tencent/QMUI_Android,2017-04-21T10:03:18Z,35,5.37,58309.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk3NDM1OTQ0Mg==,13726,Tencent/APIJSON,https://github.com/Tencent/APIJSON,2016-11-21T12:03:29Z,89,5.79,10584.0,3.0,1.0,0.853692135
MDEwOlJlcG9zaXRvcnkxNjg1MDAzOTc=,13710,justauth/JustAuth,https://github.com/justauth/JustAuth,2019-01-31T09:42:20Z,45,3.59,5287.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMTI3MTc5NjM=,13629,android-hacker/VirtualXposed,https://github.com/android-hacker/VirtualXposed,2017-12-01T09:00:58Z,50,4.76,47736.0,2.0,2.0,0.0
MDEwOlJlcG9zaXRvcnkzMTg2NTE3Ng==,13559,lgvalle/Material-Animations,https://github.com/lgvalle/Material-Animations,2015-03-08T20:54:00Z,0,7.49,1010.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk2NTk4NzA0Mw==,13448,baomidou/mybatis-plus,https://github.com/baomidou/mybatis-plus,2016-08-18T10:06:53Z,22,6.05,18434.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxMTEyNTU4OQ==,13407,keycloak/keycloak,https://github.com/keycloak/keycloak,2013-07-02T13:38:51Z,24,9.17,478056.0,4.0,1.0,0.2
MDEwOlJlcG9zaXRvcnkzMjYxMDMzNg==,13385,orhanobut/logger,https://github.com/orhanobut/logger,2015-03-20T22:30:12Z,16,7.46,827.0,6.0,1.0,0.125
MDEwOlJlcG9zaXRvcnk4NTM3MTI2Mg==,13371,williamfiset/Algorithms,https://github.com/williamfiset/Algorithms,2017-03-18T02:50:46Z,0,5.46,32427.0,2.0,1.0,0.320394755
MDEwOlJlcG9zaXRvcnkxMzMxMzQwMDc=,13335,OpenAPITools/openapi-generator,https://github.com/OpenAPITools/openapi-generator,2018-05-12T09:57:56Z,48,4.31,153180.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk2MjA3MTY3,13263,mockito/mockito,https://github.com/mockito/mockito,2012-10-13T20:27:12Z,190,9.89,48867.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyNTIwMTM2MQ==,13231,Konloch/bytecode-viewer,https://github.com/Konloch/bytecode-viewer,2014-10-14T10:26:46Z,58,7.89,18543.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyODU1MDg3Mg==,13175,Bigkoo/Android-PickerView,https://github.com/Bigkoo/Android-PickerView,2014-12-28T01:46:38Z,0,7.69,4421.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxOTExNTIz,13128,eclipse-vertx/vert.x,https://github.com/eclipse-vertx/vert.x,2011-06-17T14:54:55Z,0,11.22,135687.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk5MTkxNjE=,13122,arduino/Arduino,https://github.com/arduino/Arduino,2010-09-17T19:10:36Z,37,11.96,25793.0,2.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk2NDA1NDQ3OA==,13040,Curzibn/Luban,https://github.com/Curzibn/Luban,2016-07-24T07:43:21Z,6,6.11,1088.0,1.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyMzQxODUxNw==,12899,apache/hadoop,https://github.com/apache/hadoop,2014-08-28T07:00:08Z,0,8.02,1090686.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk1MDE2ODc=,12866,antlr/antlr4,https://github.com/antlr/antlr4,2010-02-04T01:36:28Z,25,12.58,40484.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNjM3MjExOTI=,12666,zhisheng17/flink-learning,https://github.com/zhisheng17/flink-learning,2019-01-01T07:38:28Z,0,3.67,9898.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNDczNDg3Ng==,12601,deeplearning4j/deeplearning4j,https://github.com/deeplearning4j/deeplearning4j,2013-11-27T02:03:28Z,0,8.77,618409.0,7.0,2.0,0.0
MDEwOlJlcG9zaXRvcnkxNDUwOTgxNDY=,12596,JessYanCoding/AndroidAutoSize,https://github.com/JessYanCoding/AndroidAutoSize,2018-08-17T09:04:19Z,14,4.05,1720.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyOTcwMzg3MQ==,12572,facebook/stetho,https://github.com/facebook/stetho,2015-01-22T22:34:10Z,13,7.62,19224.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyNjI2NzUx,12544,greenrobot/greenDAO,https://github.com/greenrobot/greenDAO,2011-10-22T16:15:14Z,8,10.87,18545.0,4.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyNTQ1OTQwMA==,12354,pinpoint-apm/pinpoint,https://github.com/pinpoint-apm/pinpoint,2014-10-20T09:27:22Z,50,7.87,336801.0,3.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkxNzQ3NjU2NDc=,12333,heibaiying/BigData-Notes,https://github.com/heibaiying/BigData-Notes,2019-03-10T01:40:01Z,0,3.49,2124.0,5.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk4ODExMTk5MA==,12326,zhihu/Matisse,https://github.com/zhihu/Matisse,2017-04-13T01:31:05Z,15,5.39,3418.0,5.0,1.0,0.0
MDEwOlJlcG9zaXRvcnk3NTI3NzAwMw==,12287,thingsboard/thingsboard,https://github.com/thingsboard/thingsboard,2016-12-01T09:33:30Z,50,5.76,145285.0,5.0,1.0,0.0
MDEwOlJlcG9zaXRvcnkyMzMwMTQ2OA==,12250,daimajia/AndroidSwipeLayout,https://github.com/daimajia/AndroidSwipeLayout,2014-08-25T04:09:33Z,18,8.03,2770.0,2.0,1.0,0.0
